Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,08/04/2025,"Online Transfer to CHK ...3197 transaction#: 25705354297 08/04",-3000.00,ACCT_XFER,1850.60,,
CREDIT,07/14/2025,"INTEREST PAYMENT",0.04,MISC_CREDIT,4850.60,,
CREDIT,07/08/2025,"Online Transfer from  CHK ...3197 transaction#: 25033139293",500.00,ACCT_XFER,4850.56,,
CREDIT,06/12/2025,"INTEREST PAYMENT",0.03,MISC_CREDIT,4350.56,,
CREDIT,06/06/2025,"Online Transfer from  CHK ...3197 transaction#: 24691183621",500.00,ACCT_XFER,4350.53,,
CREDIT,05/13/2025,"INTEREST PAYMENT",0.03,MISC_CREDIT,3850.53,,
CREDIT,05/08/2025,"Online Transfer from  CHK ...3197 transaction#: 24340361999",500.00,ACCT_XFER,3850.50,,
CREDIT,04/11/2025,"INTEREST PAYMENT",0.02,MISC_CREDIT,3350.50,,
CREDIT,04/08/2025,"Online Transfer from  CHK ...3197 transaction#: 23971045951",500.00,ACCT_XFER,3350.48,,
CREDIT,03/13/2025,"INTEREST PAYMENT",0.02,MISC_CREDIT,2850.48,,
CREDIT,03/07/2025,"Online Transfer from  CHK ...3197 transaction#: 23647289852",500.00,ACCT_XFER,2850.46,,
CREDIT,02/13/2025,"INTEREST PAYMENT",0.02,MISC_CREDIT,2350.46,,
CREDIT,02/07/2025,"Online Transfer from  CHK ...3197 transaction#: 23318188202",500.00,ACCT_XFER,2350.44,,
CREDIT,01/14/2025,"INTEREST PAYMENT",0.01,MISC_CREDIT,1850.44,,
CREDIT,01/08/2025,"Online Transfer from  CHK ...3197 transaction#: 22958834403",500.00,ACCT_XFER,1850.43,,
CREDIT,12/12/2024,"INTEREST PAYMENT",0.01,MISC_CREDIT,1350.43,,
CREDIT,12/06/2024,"Online Transfer from  CHK ...3197 transaction#: 22650700015",500.00,ACCT_XFER,1350.42,,
CREDIT,11/08/2024,"Online Transfer from  CHK ...3197 transaction#: 22313189306",500.00,ACCT_XFER,850.42,,
DEBIT,10/15/2024,"Online Transfer to CHK ...3197 transaction#: 22375352270 10/15",-200.00,ACCT_XFER,350.42,,
CREDIT,10/11/2024,"INTEREST PAYMENT",0.02,MISC_CREDIT,550.42,,
DEBIT,10/07/2024,"Online Transfer to CHK ...3197 transaction#: 22288141348 10/07",-2000.00,ACCT_XFER,550.40,,
CREDIT,09/13/2024,"INTEREST PAYMENT",0.02,MISC_CREDIT,2550.40,,
CREDIT,09/06/2024,"Online Transfer from  CHK ...3197 transaction#: 21661446767",500.00,ACCT_XFER,2550.38,,
CREDIT,08/13/2024,"INTEREST PAYMENT",0.01,MISC_CREDIT,2050.38,,
CREDIT,08/08/2024,"Online Transfer from  CHK ...3197 transaction#: 21340962418",500.00,ACCT_XFER,2050.37,,
CREDIT,07/12/2024,"INTEREST PAYMENT",0.03,MISC_CREDIT,1550.37,,
DEBIT,07/08/2024,"Online Transfer to CHK ...3197 transaction#: 21330867136 07/08",-2000.00,ACCT_XFER,1550.34,,
CREDIT,07/08/2024,"Online Transfer from  CHK ...3197 transaction#: 21021998551",500.00,ACCT_XFER,3550.34,,
DEBIT,07/01/2024,"Online Transfer to CHK ...3197 transaction#: 21274969837 07/01",-1000.00,ACCT_XFER,3050.34,,
CREDIT,06/13/2024,"INTEREST PAYMENT",0.03,MISC_CREDIT,4050.34,,
DEBIT,06/10/2024,"Online Transfer to CHK ...3197 transaction#: 21045113528 06/10",-500.00,ACCT_XFER,4050.31,,
CREDIT,06/07/2024,"Online Transfer from  CHK ...3197 transaction#: 20712162103",500.00,ACCT_XFER,4550.31,,
CREDIT,05/13/2024,"INTEREST PAYMENT",0.03,MISC_CREDIT,4050.31,,
CREDIT,05/08/2024,"Online Transfer from  CHK ...3197 transaction#: 20403538691",500.00,ACCT_XFER,4050.28,,
CREDIT,04/11/2024,"INTEREST PAYMENT",0.03,MISC_CREDIT,3550.28,,
CREDIT,04/08/2024,"Online Transfer from  CHK ...3197 transaction#: 20095215759",500.00,ACCT_XFER,3550.25,,
DEBIT,03/25/2024,"Online Transfer to CHK ...3197 transaction#: 20244083267 03/25",-1000.00,ACCT_XFER,3050.25,,
CREDIT,03/13/2024,"INTEREST PAYMENT",0.03,MISC_CREDIT,4050.25,,
CREDIT,03/08/2024,"Online Transfer from  CHK ...3197 transaction#: 19806864046",500.00,ACCT_XFER,4050.22,,
